variant,attrs,threads,offered_ops_s,tput_ops_s,loss_pct
quent-span/postcard,2,32,2573391.908433899,1741985.1242657716,0
tracing-log/file,2,32,5157451.475060519,2722981.357134958,47.202967002166396
tracing-span/file,2,32,6153189.10684688,1585893.9445082427,74.22647155856853
otel-log/grpc,4,1,3434670.0503020994,94353.65722598713,97.25290476685852
otel-log/noop,4,1,1138818.418346471,,
otel-span/grpc,4,1,5532413.362883908,381794.5809898424,93.09895056737368
otel-span/noop,4,1,1467781.3592270827,,
quent-log/grpc,4,1,1998614.278777338,629180.1636874862,0
quent-log/msgpack,4,1,860233.0960889022,740056.7474033796,0
quent-log/ndjson,4,1,1435320.1944261484,910631.9695032813,0
quent-log/noop,4,1,8463295.057489006,,
quent-log/postcard,4,1,882702.4343542441,826911.6521765223,0
quent-span/grpc,4,1,1673929.084722485,418986.5205736869,0
quent-span/msgpack,4,1,686992.1874403444,584005.2434840705,0
quent-span/ndjson,4,1,1154982.5602888567,821773.021156297,0
quent-span/noop,4,1,6506667.326703,,
quent-span/postcard,4,1,683722.5904779633,616436.7785084476,0
tracing-log/file,4,1,840011.9695993586,840011.7011109929,0.000031962445223854274
tracing-span/file,4,1,271360.8556510556,271360.8278531989,0.000010243871240156466
otel-log/grpc,4,2,6704472.853865975,103072.55927687389,98.4626299259689
otel-log/noop,4,2,4156426.616958021,,
otel-span/grpc,4,2,5847972.504423932,421483.0897135341,92.79266293754482
otel-span/noop,4,2,3376075.3247239226,,
quent-log/grpc,4,2,3832436.2155855894,717350.5725741268,0
quent-log/msgpack,4,2,2168743.525046773,1519256.6282787158,0
quent-log/ndjson,4,2,3456381.3922755993,1795633.3192791508,0
quent-log/noop,4,2,12829805.958871376,,
quent-log/postcard,4,2,3107613.890832719,2180131.304032524,0
quent-span/grpc,4,2,2603388.9313420625,462064.22985281615,0
quent-span/msgpack,4,2,2009527.2732981245,1182143.051601167,0
quent-span/ndjson,4,2,2621945.74276315,1367413.864014584,0
quent-span/noop,4,2,8404298.247231495,,
quent-span/postcard,4,2,1850788.2929319327,1053493.4558053187,0
tracing-log/file,4,2,1558473.9504118212,1558473.1756119102,0.00004971529430353172
tracing-span/file,4,2,561315.3568146137,560626.5680031332,0.12270977501653846
otel-log/grpc,4,4,12721936.406958258,102360.3565113302,99.19540270256859
otel-log/noop,4,4,9663247.236441744,,
otel-span/grpc,4,4,8010984.886784336,140457.91337346486,98.24668358062718
otel-span/noop,4,4,5943225.342987398,,
quent-log/grpc,4,4,5613083.471151138,708206.3673794136,0
quent-log/msgpack,4,4,4958318.9945978895,2319555.468050068,0
quent-log/ndjson,4,4,5367530.096593346,1922050.4520330147,0
quent-log/noop,4,4,5062836.637500846,,
quent-log/postcard,4,4,5612785.764322897,3069765.4983419552,0
quent-span/grpc,4,4,3810360.3324022703,446359.88461304165,0
quent-span/msgpack,4,4,3091368.456739389,1388287.9029120733,0
quent-span/ndjson,4,4,3526093.524024236,1580369.8655753592,0
quent-span/noop,4,4,5849129.147873743,,
quent-span/postcard,4,4,3318518.3997401414,1670033.0552815695,0
tracing-log/file,4,4,2749448.2043041713,2150789.9135491517,21.773761361201117
tracing-span/file,4,4,1123160.5749361042,1123160.4563560872,0.000010557708274294697
otel-log/grpc,4,8,26007651.16488855,91308.35525502419,99.64891733330269
otel-log/noop,4,8,16698193.830680298,,
otel-span/grpc,4,8,8001833.732225412,79969.02029717696,99.00061632154238
otel-span/noop,4,8,7230471.76471131,,
quent-log/grpc,4,8,3663327.2233614405,815365.5746917452,0
quent-log/msgpack,4,8,4117730.4428649973,2278971.668046423,0
quent-log/ndjson,4,8,3817842.5393571793,2199359.7384482687,0
quent-log/noop,4,8,3501402.595353049,,
quent-log/postcard,4,8,3954462.3570912173,2530813.854487937,0
quent-span/grpc,4,8,4450215.899776759,468972.9531859647,0
quent-span/msgpack,4,8,4592537.996500891,1655747.0384048033,0
quent-span/ndjson,4,8,4337569.827663016,1715013.0709292449,0
quent-span/noop,4,8,3663441.0684738,,
quent-span/postcard,4,8,4480872.50402295,1829419.7574838481,0
tracing-log/file,4,8,5354492.087150334,1800932.2044403313,66.36595637591485
tracing-span/file,4,8,2492991.7483406602,1771503.8049396179,28.9406470711853
otel-log/grpc,4,16,27843584.93061191,128103.71779121488,99.53991658002927
otel-log/noop,4,16,9235231.197202038,,
otel-span/grpc,4,16,8875958.550267678,148771.95150013425,98.32387735186474
otel-span/noop,4,16,5704551.02834558,,
quent-log/grpc,4,16,3945582.121045993,858209.3104520851,0
quent-log/msgpack,4,16,3783581.950138538,2180537.4855474113,0
quent-log/ndjson,4,16,3444881.020914605,2115690.2862485372,0
quent-log/noop,4,16,3740260.3293750295,,
quent-log/postcard,4,16,3906830.8282340127,2816140.292990194,0
quent-span/grpc,4,16,3879699.8499696795,478317.26333693607,0
quent-span/msgpack,4,16,3734457.2565851305,1590220.1625386768,0
